Suburb,Address,Rooms,Type,Price,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,address,latitude,longitude,geometry,School_Name,School_Rank
Hampton,4 Bendigo St,4,h,3200000.0,10/09/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"4 Bendigo St,Hampton,3188,Victoria,Australia",-37.932362899999994,144.9993595,POINT (144.9993595 -37.93236289999999),Brighton Secondary College,11
Hampton,30 Holyrood St,4,h,2420000.0,10/09/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"30 Holyrood St,Hampton,3188,Victoria,Australia",-37.9335908,145.0013439,POINT (145.0013439 -37.9335908),Brighton Secondary College,11
Hampton,22 Margarita St,4,h,2880000.0,10/09/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"22 Margarita St,Hampton,3188,Victoria,Australia",-37.9315065,144.9995196,POINT (144.9995196 -37.9315065),Brighton Secondary College,11
Bentleigh,1/30 Daley St,2,h,855000.0,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"1/30 Daley St,Bentleigh,3204,Victoria,Australia",-37.918936200000005,145.0384069,POINT (145.0384069 -37.9189362),Brighton Secondary College,11
Bentleigh,1/26 Harding St,3,t,1100000.0,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"1/26 Harding St,Bentleigh,3204,Victoria,Australia",-37.928934000000005,145.0325079,POINT (145.0325079 -37.92893400000001),Brighton Secondary College,11
Bentleigh,13/27 Patterson Rd,2,u,650000.0,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"13/27 Patterson Rd,Bentleigh,3204,Victoria,Australia",-37.92484,145.02644080000002,POINT (145.0264408 -37.92484),Brighton Secondary College,11
Bentleigh,9 Yawla St,4,h,2255000.0,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"9 Yawla St,Bentleigh,3204,Victoria,Australia",-37.913865799999996,145.0289866,POINT (145.0289866 -37.9138658),Brighton Secondary College,11
Brighton,115 Dendy St,4,h,3180000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"115 Dendy St,Brighton,3186,Victoria,Australia",-37.919503000000006,144.99278059999997,POINT (144.9927806 -37.91950300000001),Brighton Secondary College,11
Brighton,640B Hampton St,2,t,960000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"640B Hampton St,Brighton,3186,Victoria,Australia",-37.9066164,145.0081012,POINT (145.0081012 -37.9066164),Brighton Secondary College,11
Brighton,5/778 Hampton St,2,h,752000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"5/778 Hampton St,Brighton,3186,Victoria,Australia",-37.9066164,145.0081012,POINT (145.0081012 -37.9066164),Brighton Secondary College,11
Brighton,1/858 Hampton St,2,u,833000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"1/858 Hampton St,Brighton,3186,Victoria,Australia",-37.9066164,145.0081012,POINT (145.0081012 -37.9066164),Brighton Secondary College,11
Brighton,297 New St,4,h,2800000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"297 New St,Brighton,3186,Victoria,Australia",-37.913296100000004,144.99153969999998,POINT (144.9915397 -37.9132961),Brighton Secondary College,11
Brighton,2a Roslyn St,1,h,1775000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"2a Roslyn St,Brighton,3186,Victoria,Australia",-37.917869200000005,145.0036707,POINT (145.0036707 -37.91786920000001),Brighton Secondary College,11
Brighton,3/24 South Rd,3,u,1602000.0,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"3/24 South Rd,Brighton,3186,Victoria,Australia",-37.9275515,144.98888430000002,POINT (144.9888843 -37.9275515),Brighton Secondary College,11
Brighton East,1 Arnot St,5,h,2500000.0,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"1 Arnot St,Brighton East,3187,Victoria,Australia",-37.912317,145.0134638,POINT (145.0134638 -37.912317),Brighton Secondary College,11
Brighton East,14 Holmhurst Ct,4,h,1700000.0,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"14 Holmhurst Ct,Brighton East,3187,Victoria,Australia",-37.929548100000005,145.01360019999998,POINT (145.0136002 -37.92954810000001),Brighton Secondary College,11
Brighton East,24 Moore St,3,h,1405000.0,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"24 Moore St,Brighton East,3187,Victoria,Australia",-37.9020144,145.00922690000002,POINT (145.0092269 -37.9020144),Brighton Secondary College,11
Brighton East,355 Nepean Hwy,3,h,1290000.0,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"355 Nepean Hwy,Brighton East,3187,Victoria,Australia",-37.9157783,145.0176419,POINT (145.0176419 -37.9157783),Brighton Secondary College,11
Brighton East,92 Thomas St,5,h,3207000.0,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"92 Thomas St,Brighton East,3187,Victoria,Australia",-37.9148394,145.0235269,POINT (145.0235269 -37.9148394),Brighton Secondary College,11
Hampton,50 Earlsfield Rd,4,h,1460000.0,10/12/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"50 Earlsfield Rd,Hampton,3188,Victoria,Australia",-37.9309786,145.0172876,POINT (145.0172876 -37.9309786),Brighton Secondary College,11
Hampton,70 Teddington Rd,3,h,1682000.0,10/12/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"70 Teddington Rd,Hampton,3188,Victoria,Australia",-37.9356851,145.01637480000002,POINT (145.0163748 -37.9356851),Brighton Secondary College,11
Bentleigh,28 McLean Av,5,h,1520000.0,15/09/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"28 McLean Av,Bentleigh,3204,Victoria,Australia",-37.914019200000006,145.0236653,POINT (145.0236653 -37.91401920000001),Brighton Secondary College,11
Bentleigh,23 Robert St,3,h,1305000.0,15/09/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"23 Robert St,Bentleigh,3204,Victoria,Australia",-37.9192191,145.04049519999998,POINT (145.0404952 -37.9192191),Brighton Secondary College,11
Brighton,4 Hector St,4,h,1920000.0,15/09/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"4 Hector St,Brighton,3186,Victoria,Australia",-37.911595899999995,145.0059919,POINT (145.0059919 -37.91159589999999),Brighton Secondary College,11
Brighton,8/41 Kinane St,3,t,1202500.0,15/09/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"8/41 Kinane St,Brighton,3186,Victoria,Australia",-37.9217069,144.9919853,POINT (144.9919853 -37.9217069),Brighton Secondary College,11
Brighton,3/568 New St,1,u,400000.0,15/09/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"3/568 New St,Brighton,3186,Victoria,Australia",-37.913296100000004,144.99153969999998,POINT (144.9915397 -37.9132961),Brighton Secondary College,11
Brighton,111 Roslyn St,5,h,2325000.0,15/09/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"111 Roslyn St,Brighton,3186,Victoria,Australia",-37.917869200000005,145.0036707,POINT (145.0036707 -37.91786920000001),Brighton Secondary College,11
Brighton East,2/6 Carr St,3,t,1105000.0,15/09/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"2/6 Carr St,Brighton East,3187,Victoria,Australia",-37.9279056,145.02882409999998,POINT (145.0288241 -37.9279056),Brighton Secondary College,11
Brighton East,19 Clive St,2,h,1050000.0,15/09/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"19 Clive St,Brighton East,3187,Victoria,Australia",-37.914251799999995,145.0204668,POINT (145.0204668 -37.9142518),Brighton Secondary College,11
Brighton East,25 Gillard St,4,h,1360000.0,15/09/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"25 Gillard St,Brighton East,3187,Victoria,Australia",-37.913264700000006,145.0206997,POINT (145.0206997 -37.91326470000001),Brighton Secondary College,11
Brighton East,10 Lansdown St,4,h,2000000.0,15/09/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"10 Lansdown St,Brighton East,3187,Victoria,Australia",-37.903366600000005,145.0150865,POINT (145.0150865 -37.90336660000001),Brighton Secondary College,11
Hampton East,5 Highbury Av,3,h,1500000.0,15/09/2018,3188,Southern Metropolitan,2356,13.8,Bayside City Council,"5 Highbury Av,Hampton East,3188,Victoria,Australia",-37.93492379999999,145.0333041,POINT (145.0333041 -37.93492379999999),Brighton Secondary College,11
Bentleigh,6 Atkinson St,3,h,1293000.0,15/10/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"6 Atkinson St,Bentleigh,3204,Victoria,Australia",-37.928182799999995,145.0377496,POINT (145.0377496 -37.92818279999999),Brighton Secondary College,11
Bentleigh,19b Howell St,4,h,1250000.0,15/10/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"19b Howell St,Bentleigh,3204,Victoria,Australia",-37.92987279999999,145.0333727,POINT (145.0333727 -37.92987279999999),Brighton Secondary College,11
Brighton,95 Cochrane St,4,h,3295888.0,15/10/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"95 Cochrane St,Brighton,3186,Victoria,Australia",-37.9049842,144.997935,POINT (144.997935 -37.9049842),Brighton Secondary College,11
Brighton,65 Male St,3,h,1205000.0,15/10/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"65 Male St,Brighton,3186,Victoria,Australia",-37.908373299999994,145.0052145,POINT (145.0052145 -37.90837329999999),Brighton Secondary College,11
Brighton,6/138 New St,1,u,375000.0,15/10/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"6/138 New St,Brighton,3186,Victoria,Australia",-37.913296100000004,144.99153969999998,POINT (144.9915397 -37.9132961),Brighton Secondary College,11
Brighton,8/35 Normanby St,2,u,756000.0,15/10/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"8/35 Normanby St,Brighton,3186,Victoria,Australia",-37.9110234,144.98817549999998,POINT (144.9881755 -37.9110234),Brighton Secondary College,11
Brighton East,55 Baird St,4,h,2050000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"55 Baird St,Brighton East,3187,Victoria,Australia",-37.9216578,145.0127318,POINT (145.0127318 -37.9216578),Brighton Secondary College,11
Brighton East,25 Camperdown St,5,h,2550000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"25 Camperdown St,Brighton East,3187,Victoria,Australia",-37.9180416,145.0116958,POINT (145.0116958 -37.9180416),Brighton Secondary College,11
Brighton East,2/5 Camperdown St,2,u,905000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"2/5 Camperdown St,Brighton East,3187,Victoria,Australia",-37.9180416,145.0116958,POINT (145.0116958 -37.9180416),Brighton Secondary College,11
Brighton East,9a Elizabeth St,3,h,1355000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"9a Elizabeth St,Brighton East,3187,Victoria,Australia",-37.9069169,145.0165738,POINT (145.0165738 -37.9069169),Brighton Secondary College,11
Brighton East,4 Farmer St,2,h,1845000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"4 Farmer St,Brighton East,3187,Victoria,Australia",-37.926607399999995,145.0096304,POINT (145.0096304 -37.92660739999999),Brighton Secondary College,11
Brighton East,69 Landcox St,4,h,2110000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"69 Landcox St,Brighton East,3187,Victoria,Australia",-37.902175899999996,145.0153126,POINT (145.0153126 -37.9021759),Brighton Secondary College,11
Brighton East,7a Robinson St,5,h,1760000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"7a Robinson St,Brighton East,3187,Victoria,Australia",-37.9186047,145.01865790000002,POINT (145.0186579 -37.9186047),Brighton Secondary College,11
Brighton East,2 Shasta Av,4,h,2655000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"2 Shasta Av,Brighton East,3187,Victoria,Australia",-37.9170251,145.0104705,POINT (145.0104705 -37.9170251),Brighton Secondary College,11
Brighton East,7 Tuxen Ct,5,h,2050000.0,15/10/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"7 Tuxen Ct,Brighton East,3187,Victoria,Australia",-37.929809399999996,145.0284164,POINT (145.0284164 -37.9298094),Brighton Secondary College,11
Hampton,1/33 Holyrood St,3,h,1460000.0,15/10/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"1/33 Holyrood St,Hampton,3188,Victoria,Australia",-37.9335908,145.0013439,POINT (145.0013439 -37.9335908),Brighton Secondary College,11
Hampton,26 Teddington Rd,3,h,1620000.0,15/10/2016,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"26 Teddington Rd,Hampton,3188,Victoria,Australia",-37.9356851,145.01637480000002,POINT (145.0163748 -37.9356851),Brighton Secondary College,11
Brighton,2/61 Black St,2,u,800000.0,16/04/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"2/61 Black St,Brighton,3186,Victoria,Australia",-37.9152359,144.9977199,POINT (144.9977199 -37.9152359),Brighton Secondary College,11
Brighton,34 Middle Cr,4,h,4375000.0,16/04/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"34 Middle Cr,Brighton,3186,Victoria,Australia",-37.907384,144.9966106,POINT (144.9966106 -37.907384),Brighton Secondary College,11
Brighton,48 Montclair Av,2,h,1036000.0,16/04/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"48 Montclair Av,Brighton,3186,Victoria,Australia",-37.9022937,145.0038176,POINT (145.0038176 -37.9022937),Brighton Secondary College,11
Brighton East,6 Balfour St,3,h,1620000.0,16/04/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"6 Balfour St,Brighton East,3187,Victoria,Australia",-37.919194700000006,145.012662,POINT (145.012662 -37.91919470000001),Brighton Secondary College,11
Brighton East,11 Burwah Av,4,h,2127000.0,16/04/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"11 Burwah Av,Brighton East,3187,Victoria,Australia",-37.9224878,145.02001830000003,POINT (145.0200183 -37.9224878),Brighton Secondary College,11
Brighton East,2/111 Thomas St,3,t,940000.0,16/04/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"2/111 Thomas St,Brighton East,3187,Victoria,Australia",-37.9148394,145.0235269,POINT (145.0235269 -37.9148394),Brighton Secondary College,11
Bentleigh,2 Barry St,3,h,1020000.0,16/06/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"2 Barry St,Bentleigh,3204,Victoria,Australia",-37.9316309,145.036509,POINT (145.036509 -37.9316309),Brighton Secondary College,11
Bentleigh,3A Somers St,4,t,1246000.0,16/06/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"3A Somers St,Bentleigh,3204,Victoria,Australia",-37.915077399999994,145.02561630000002,POINT (145.0256163 -37.91507739999999),Brighton Secondary College,11
Brighton,60 Carpenter St,3,h,2900000.0,16/06/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"60 Carpenter St,Brighton,3186,Victoria,Australia",-37.914875200000004,144.9937415,POINT (144.9937415 -37.9148752),Brighton Secondary College,11
Brighton,259 New St,3,h,1685000.0,16/06/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"259 New St,Brighton,3186,Victoria,Australia",-37.913296100000004,144.99153969999998,POINT (144.9915397 -37.9132961),Brighton Secondary College,11
Brighton,384 New St,4,h,1950000.0,16/06/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"384 New St,Brighton,3186,Victoria,Australia",-37.913296100000004,144.99153969999998,POINT (144.9915397 -37.9132961),Brighton Secondary College,11
Brighton East,7 Beddoe Av,4,t,1540000.0,16/06/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"7 Beddoe Av,Brighton East,3187,Victoria,Australia",-37.9105018,145.0188432,POINT (145.0188432 -37.9105018),Brighton Secondary College,11
Brighton East,2 Glencairn Av,4,h,2050000.0,16/06/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"2 Glencairn Av,Brighton East,3187,Victoria,Australia",-37.92685,145.0194642,POINT (145.0194642 -37.92685),Brighton Secondary College,11
Brighton East,26 Louise St,3,h,1400000.0,16/06/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"26 Louise St,Brighton East,3187,Victoria,Australia",-37.904005,145.0197896,POINT (145.0197896 -37.904005),Brighton Secondary College,11
Brighton East,76 Marriage Rd,5,h,2850000.0,16/06/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"76 Marriage Rd,Brighton East,3187,Victoria,Australia",-37.9201375,145.0217718,POINT (145.0217718 -37.9201375),Brighton Secondary College,11
Brighton East,5 Raymond Ct,4,h,1650000.0,16/06/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"5 Raymond Ct,Brighton East,3187,Victoria,Australia",-37.931075,145.0294765,POINT (145.0294765 -37.931075),Brighton Secondary College,11
Bentleigh,4 Daley St,3,h,1370000.0,16/07/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"4 Daley St,Bentleigh,3204,Victoria,Australia",-37.918936200000005,145.0384069,POINT (145.0384069 -37.9189362),Brighton Secondary College,11
Bentleigh,55 North Av,2,h,850000.0,16/07/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"55 North Av,Bentleigh,3204,Victoria,Australia",-37.926696299999996,145.03518,POINT (145.03518 -37.9266963),Brighton Secondary College,11
Bentleigh,15 Wilson St,4,h,1385000.0,16/07/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"15 Wilson St,Bentleigh,3204,Victoria,Australia",-37.916706899999994,145.0242889,POINT (145.0242889 -37.91670689999999),Brighton Secondary College,11
Brighton,45 Black St,3,h,1500000.0,16/07/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"45 Black St,Brighton,3186,Victoria,Australia",-37.9152359,144.9977199,POINT (144.9977199 -37.9152359),Brighton Secondary College,11
Brighton,1/12 Burrows St,2,u,905500.0,16/07/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"1/12 Burrows St,Brighton,3186,Victoria,Australia",-37.9177745,144.9948121,POINT (144.9948121 -37.9177745),Brighton Secondary College,11
Bentleigh,4 Clairmont Av,4,h,2210000.0,16/09/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"4 Clairmont Av,Bentleigh,3204,Victoria,Australia",-37.9215095,145.0250206,POINT (145.0250206 -37.9215095),Brighton Secondary College,11
Bentleigh,7 Lockwood St,4,h,1450000.0,16/09/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"7 Lockwood St,Bentleigh,3204,Victoria,Australia",-37.9300561,145.0375129,POINT (145.0375129 -37.9300561),Brighton Secondary College,11
Bentleigh,43a McArthur St,4,t,1350000.0,16/09/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"43a McArthur St,Bentleigh,3204,Victoria,Australia",-37.925774,145.02909580000002,POINT (145.0290958 -37.925774),Brighton Secondary College,11
Bentleigh,8A Pascoe Av,4,t,1665000.0,16/09/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"8A Pascoe Av,Bentleigh,3204,Victoria,Australia",-37.9120408,145.0269634,POINT (145.0269634 -37.9120408),Brighton Secondary College,11
Bentleigh,2/5 South Av,2,u,462250.0,16/09/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"2/5 South Av,Bentleigh,3204,Victoria,Australia",-37.930122,145.0357656,POINT (145.0357656 -37.930122),Brighton Secondary College,11
Brighton,5/103 Dendy St,2,u,1105000.0,16/09/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"5/103 Dendy St,Brighton,3186,Victoria,Australia",-37.919503000000006,144.99278059999997,POINT (144.9927806 -37.91950300000001),Brighton Secondary College,11
Brighton,3/58 Durrant St,3,t,1475000.0,16/09/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"3/58 Durrant St,Brighton,3186,Victoria,Australia",-37.9125067,145.0069342,POINT (145.0069342 -37.9125067),Brighton Secondary College,11
Brighton,3/25 Grosvenor St,3,t,1250000.0,16/09/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"3/25 Grosvenor St,Brighton,3186,Victoria,Australia",-37.9092646,144.988502,POINT (144.988502 -37.9092646),Brighton Secondary College,11
Brighton,15 Lasswade Ct,3,t,1815000.0,16/09/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"15 Lasswade Ct,Brighton,3186,Victoria,Australia",-37.9241014,144.9909415,POINT (144.9909415 -37.9241014),Brighton Secondary College,11
Brighton,1 Leonie Ct,3,t,1960000.0,16/09/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"1 Leonie Ct,Brighton,3186,Victoria,Australia",-37.913987799999994,145.00518,POINT (145.00518 -37.91398779999999),Brighton Secondary College,11
Caulfield South,391B North Rd,3,t,1364000.0,16/09/2017,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council,"391B North Rd,Caulfield South,3162,Victoria,Australia",-37.901449299999996,145.0205864,POINT (145.0205864 -37.9014493),Brighton Secondary College,11
Hampton,4 Bolton Av,3,h,2515000.0,16/09/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"4 Bolton Av,Hampton,3188,Victoria,Australia",-37.9311266,144.9959882,POINT (144.9959882 -37.9311266),Brighton Secondary College,11
Hampton,2/46 Earlsfield Rd,3,t,1205000.0,16/09/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"2/46 Earlsfield Rd,Hampton,3188,Victoria,Australia",-37.9309786,145.0172876,POINT (145.0172876 -37.9309786),Brighton Secondary College,11
Hampton,41 Grout St,4,h,2550000.0,16/09/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"41 Grout St,Hampton,3188,Victoria,Australia",-37.9349565,145.0118979,POINT (145.0118979 -37.9349565),Brighton Secondary College,11
Hampton,49 Ludstone St,4,h,2135000.0,16/09/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"49 Ludstone St,Hampton,3188,Victoria,Australia",-37.9346266,145.0165293,POINT (145.0165293 -37.9346266),Brighton Secondary College,11
Hampton,15 May St,4,h,1820000.0,16/09/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"15 May St,Hampton,3188,Victoria,Australia",-37.935825200000004,145.01173480000003,POINT (145.0117348 -37.9358252),Brighton Secondary College,11
Bentleigh,21 Coates St,5,h,1740000.0,16/12/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"21 Coates St,Bentleigh,3204,Victoria,Australia",-37.9254963,145.0340314,POINT (145.0340314 -37.9254963),Brighton Secondary College,11
Brighton,53 Lynch Cr,3,h,2350000.0,16/12/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"53 Lynch Cr,Brighton,3186,Victoria,Australia",-37.921285299999994,144.99848269999998,POINT (144.9984827 -37.92128529999999),Brighton Secondary College,11
Brighton,40 Whyte St,3,h,1900000.0,16/12/2017,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"40 Whyte St,Brighton,3186,Victoria,Australia",-37.92314879999999,144.9993474,POINT (144.9993474 -37.92314879999999),Brighton Secondary College,11
Brighton East,75 Baird St,4,h,3100000.0,16/12/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"75 Baird St,Brighton East,3187,Victoria,Australia",-37.9216578,145.0127318,POINT (145.0127318 -37.9216578),Brighton Secondary College,11
Brighton East,60 Centre Rd,3,h,1415000.0,16/12/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"60 Centre Rd,Brighton East,3187,Victoria,Australia",-37.9158968,145.0180337,POINT (145.0180337 -37.9158968),Brighton Secondary College,11
Brighton East,32 Clive St,2,h,1262000.0,16/12/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"32 Clive St,Brighton East,3187,Victoria,Australia",-37.914251799999995,145.0204668,POINT (145.0204668 -37.9142518),Brighton Secondary College,11
Brighton East,9 Curzon St,3,h,1880000.0,16/12/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"9 Curzon St,Brighton East,3187,Victoria,Australia",-37.921712400000004,145.0131969,POINT (145.0131969 -37.9217124),Brighton Secondary College,11
Brighton East,152 Thomas St,2,h,950000.0,16/12/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"152 Thomas St,Brighton East,3187,Victoria,Australia",-37.9148394,145.0235269,POINT (145.0235269 -37.9148394),Brighton Secondary College,11
Hampton,2 Grout St,3,h,1500000.0,16/12/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"2 Grout St,Hampton,3188,Victoria,Australia",-37.9349565,145.0118979,POINT (145.0118979 -37.9349565),Brighton Secondary College,11
Hampton,16 Kingston St,3,h,1006000.0,16/12/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council,"16 Kingston St,Hampton,3188,Victoria,Australia",-37.9313643,145.0137175,POINT (145.0137175 -37.9313643),Brighton Secondary College,11
Bentleigh,45 Huntley Rd,4,h,1650000.0,17/02/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"45 Huntley Rd,Bentleigh,3204,Victoria,Australia",-37.9129467,145.02798169999997,POINT (145.0279817 -37.9129467),Brighton Secondary College,11
Bentleigh,79 North Av,4,h,1400000.0,17/02/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"79 North Av,Bentleigh,3204,Victoria,Australia",-37.926696299999996,145.03518,POINT (145.03518 -37.9266963),Brighton Secondary College,11
Brighton,4/33 North Rd,2,u,900000.0,17/02/2018,3186,Southern Metropolitan,10579,10.5,Bayside City Council,"4/33 North Rd,Brighton,3186,Victoria,Australia",-37.89990770000001,145.00644499999999,POINT (145.006445 -37.89990770000001),Brighton Secondary College,11
Brighton East,9 Cluden St,4,h,2745000.0,17/02/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"9 Cluden St,Brighton East,3187,Victoria,Australia",-37.9127314,145.01081000000002,POINT (145.01081 -37.9127314),Brighton Secondary College,11
Brighton East,2 Collis St,3,t,1420000.0,17/02/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"2 Collis St,Brighton East,3187,Victoria,Australia",-37.9288009,145.0137345,POINT (145.0137345 -37.9288009),Brighton Secondary College,11
Brighton East,11 Sunlight Cr,4,h,3300000.0,17/02/2018,3187,Southern Metropolitan,6938,10.3,Bayside City Council,"11 Sunlight Cr,Brighton East,3187,Victoria,Australia",-37.928164,145.02280380000002,POINT (145.0228038 -37.928164),Brighton Secondary College,11
Bentleigh,5 Charlton St,4,h,2430000.0,17/03/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"5 Charlton St,Bentleigh,3204,Victoria,Australia",-37.921505200000006,145.0317293,POINT (145.0317293 -37.92150520000001),Brighton Secondary College,11
Bentleigh,6 Gilbert Gr,5,h,2000000.0,17/03/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"6 Gilbert Gr,Bentleigh,3204,Victoria,Australia",-37.920545399999995,145.0313159,POINT (145.0313159 -37.92054539999999),Brighton Secondary College,11
Bentleigh,12 Miles St,5,h,2275000.0,17/03/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"12 Miles St,Bentleigh,3204,Victoria,Australia",-37.9213649,145.0305531,POINT (145.0305531 -37.9213649),Brighton Secondary College,11
Bentleigh,32 Railway Cr,2,h,1320000.0,17/03/2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,"32 Railway Cr,Bentleigh,3204,Victoria,Australia",-37.9275466,145.0357244,POINT (145.0357244 -37.9275466),Brighton Secondary College,11
