,Company,Location,Salary,Job Title,Summary
729,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
730,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
731,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
732,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
733,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
734,Aimia,Docklands VIC,,Insights Analyst; Analytics & Insights,"Aimia - ILS is in the data driven business. Computer science, Mathematics, Statistics, Engineering, Data Sciences, etc.). MORE ABOUT AIMIA AND WHAT WE DO:"
735,Fitch Ratings,Sydney NSW,,"Analyst, Banks, Sydney","Financial data entry and checking. Fitch Solutions, a leading provider of credit market data, analytical tools and risk services; Fitch Group is comprised of:"
736,ANZ Banking Group,Melbourne VIC,,Analyst - Buy and Own a Home,"Previous experience in one or more types of Analyst roles will be highly regarded, e.g. Process Analyst, System Analyst, Business Analyst, Data Analyst,…"
737,Michael Page,Melbourne VIC,"$140,000 - $150,000 a year",Analytics Lead/ Data Scientist,"Coordinate with the different analytical and data functions to improve and solve data issues and capabilities. Data Analysis - SQL, MS BI stack, Oracle."
738,AYAN INFOTECH PTY LTD,Melbourne VIC,,Data Scientist,Develop custom data models and algorithms. Core exp as a Data Scientist (8 years of experience in Data Science or related roles) - developing and optimizing…
739,NSW Business Chamber,North Sydney NSW,,Policy Analyst,"End to end management of the NSW Business Chamber’s surveys (survey creation, data manipulation, interrogation and analysis)."
740,DWS,Melbourne VIC,,Business Analyst,DWS are on the lookout for creative and enthusiastic individuals and currently have multiple opportunities for highly experienced Business Analysts to join our…
741,Dun And Bradstreet,Melbourne VIC,,Senior FP&A Analyst,"Ability to analyse large data sets and translate the data into meaningful messages, action items and communications (verbal, written and numerical);"
742,,Sydney NSW,"$700 - $1,100 a day",Data Scientist,"Develop deep subject matter expertise in Data Science to support a diverse range of projects Manipulate and analyse complex, high-volume, high-dimensionality…"
743,Department of Treasury & Finance,Melbourne City Centre VIC,,"Senior Analyst, Financial Policy",An exciting opportunity exists for a Financial Analyst on a full-time basis in Financial Assets and Liabilities (FAL) Group. Application close 23 August 2019.
744,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
745,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
746,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
747,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
748,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
749,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
750,4impact Group,Brisbane QLD,$700 - $800 a day,Business Analyst (Data Governance),"Data Governance, Data modeling , ETL, Business Intelligence / Data warehousing *. Strong understanding and experience as a Business analyst."
751,MTP Services,Canberra ACT,,Data Analyst,MTP services has a new opportunity for a multiple Data Analyst. Our client is on the search for a Data analyst who will be able to: Apply now for more info!
752,Chandler Macleod,Melbourne VIC,,Data Test Analyst,Identify environment and data requirements. Experience in large data migration and transformation. Our client a well known Federal Government Agency is seeking…
753,Goodman,Sydney NSW,,Account Analyst,2-3 years' experience as a business analyst or sales analyst. Manage the Trade Spend data base. Demonstrated ability to mine large data sets and generate…
754,WooliesX,Bella Vista NSW,,Digital Analyst,Strong data visualisation and communication skills (both written & verbal) - to present data driven insights to stakeholders in an effective manner.
755,ASIC,Sydney NSW,"$120,883 - $142,641 a year","Senior Analyst, Superannuation","As a Senior Analyst, you will be required to: Analyse and draw conclusions from a range of qualitative and quantitative data, using evidence-based arguments to…"
756,The Australian Scholarships Group,Oakleigh VIC,,Senior Business Analyst,Developing and maintaining data flow diagrams. Significant experience in business analyst or similar role. Facilitate requirements gathering workshops to elicit…
757,Verizon,Melbourne VIC,,Senior Cyber Analyst,An excellent understanding of log ingestion and data normalisation on the Splunk Enterprise Security platform. Five or more years of work experience.
758,Amazon Corporate Services Pty,Sydney NSW,,Data Scientist,"Data integrity, test design, analysis, validation, and documentation. Familiarity with AWS data analytics and machine learning services."
759,Total Resource Solutions,Sydney NSW,$600 - $650 a day,Data Analyst/Modeller - Visualisation,"Experience in extracting data, cleaning and preparing data for use in dashboards. Data Modeller Time – NSW Government. Up to 5 data cleansing projects."
760,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
761,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
762,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
763,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
764,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
765,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
766,"Groupon, Inc.",Sydney NSW,,Strategy & Planning Analyst - Travel,"Synthesize raw data into digestible and actionable recommendations. … Collect, analyse, and evaluate data to track performance and developments."
767,Claim Central,Matraville NSW,,Accounts Payable Analyst,"Strong data analysis and problem-solving skills. … Claim Central Group is an Insurance Technology, Claims Service and Data Insights business."
768,Skills Institute Australia,Springwood QLD,"$60,000 - $80,000 a year",System Analyst,Using data and process modelling techniques to create clear system specifications for the design and development of system software.
769,LawPath,Australia,,Current opportunities,Richard Yuen – Data Analyst. … Working at Lawpath has allowed me to be a part of a collaborative and diverse team.
770,Michael Page,Melbourne VIC,"$90,000 - $110,000 a year",Data & Digital Analyst | Web Analytics | Ecommerce | Retail,"Previous experience in an Ecommerce Analyst, Digital Insights Analyst, Web Analytics Analyst role. … Data manipulation experience with Advanced Excel, SQL,…"
771,Veolia,Sydney NSW,,Test Analyst,Prepare test data to use in testing. … You’re a details orientated Analyst with the ability to coordinate and prioritise your time. … Plan and script test cases.
772,Aston Carter,Melbourne City Centre VIC,,Customer Insights Analyst,Statistical and Data Mining skills. … Demonstrated experience translating multiple data sets into insights. … Demonstrated experience using data visualisation tools…
773,DXC,Adelaide SA,,Test Analyst – Automation,DXC Technology’s Digital Transformation Centre (DTC) focus’ on the development and delivery of next-generation digital services and solutions — including…
774,McCain Foods (Aust) Pty Ltd.,Melbourne VIC,,Senior FP and A Analyst,Knowledge of retailer as well as food service distributor and operator data requirements. … The FP&A Senior analyst is pivotal in supporting the FP&A Manager to…
775,Mutual Trust,Melbourne VIC,,Corporate Actions Analyst - Income,Data maintenance in relation to model portfolio weightings and yield overrides. … We currently have an opportunity for a Corporate Actions Analyst – Income with…
776,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. … We are currently looking for an Analyst Geoscientific Data Management to provide data…
777,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. … Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
778,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
779,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. … Supporting the development of more junior analysts, as appropriate. … You will be the primary analyst on the team producing…"
780,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. … Demonstrated experience as Analyst with ability to…"
781,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
782,Macquarie Group Limited,Sydney NSW,,Global Fraud and Intelligence Analyst,"Synthesise data and compose accurate and timely communications, according to established procedures and templates by notifying relevant stakeholders."
783,RACQ,Fortitude Valley QLD,,Analyst Engineer | .NET,"Data processing, hardware platforms and software applications. Provides solutions for business systems and processing using technology to improve productivity,…"
784,RAC WA,West Perth WA,,Direct Marketing Analyst,"The position sits in within a large team of data professionals, reporting to the Contact Manager and alongside an Outbound Campaign Analyst."
785,IT Alliance Australia,Canberra ACT,,Data/System Analyst Modellers,Validate business data objects for accuracy and completeness. Experience in programming using SQL coding language for analyzing vast amounts of data which enter…
786,KPMG,Melbourne VIC,,"Analyst - Manager Level, Restructuring Services",Proficiency in using Excel to interpret data and generate insights; Deploy best in class data analytics tools to diagnose and design integrated solutions to…
787,Equitise Pty Ltd,Sydney NSW,,Analyst,The job title for the position is Analyst. Develop deep market and investment insights into areas of interest including data capturing and analysis.
788,DFP Recruitment Services Pty Ltd,Melbourne VIC,$41.64 an hour,APS4 Business Analyst,"Proven experience with data monitoring and analysis, ideally within the Public Sector. Proven experience with collecting and analysing data and identifying…"
789,University of New England (UNE),Armidale NSW,"$76,549 - $84,141 a year",Business Intelligence Analyst,The Business Intelligence Analyst will utilise analysis tools to query the UNE Data Warehouse and alternative data repositories to generate reports.
790,Sirius People,Sydney NSW,,Data Scientist,Detect fraud from large data sets. Creating predictive models on large amounts of data. Advance data modelling and writing algorithms – optimisation.
791,SFDC Australia Pty Ltd.,Sydney NSW,,Financial Planning & Analysis Senior Analyst,"Qualified accountant, investment banker, finance or business analyst. Is looking for a Financial Planning & Analysis Senior Analyst."
792,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
793,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
794,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
795,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
796,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
797,Expedia Group,Sydney NSW,,Data / Business Analyst (Data Science),"Knowledge of Big Data Eco-Systems and tools - Hadoop / Spark / PIG / Hive / etc. Strong analytical, statistical, data manipulation, modeling skills with solid…"
798,Vibrato,Melbourne VIC,,Senior Data Scientist - Melbourne,"Be able to talk about data, the analysis and tell a story from the data. Design & Build Enterprise Data Lakes & big data analytics environments on AWS, Azure…"
799,Super Retail Group,Brendale QLD,,Performance and Insights Analyst,"Provide data and report maintenance, ensuring accuracy of data and analysis. Experience With Alteryx, Power BI or Similar Data tools."
800,Herbert Smith Freehills,Sydney NSW,,BUSINESS ANALYST – DATA PRIVACY,We have a new opportunity for a Business Analyst with data privacy experience to join our PMO team on our Australian Data Privacy Compliance Programme.
801,Queensland Government,Toowoomba QLD,,Business Intelligence Analyst,"If you have a passion for business intelligence, reporting and data, please apply. You will utilise contemporary data management and analysis methodologies to…"
802,iKas International,Sydney NSW,$750 a day,Data Analyst,"The projects you will work on initially will be Data Migration, Data Quality, Risk and Regulatory projects. This person will need to know how to use excel and…"
803,Origin Energy,Barangaroo NSW,,Functional Analyst,"Demonstrated ability in performing fundamental data analysis, using SQL. 3+ years’ experience working as a Functional or IT Business Analyst (while not required…"
804,Accountancy Connect,Melbourne VIC,,Data Analyst Date Posted: 14/03/2019,Data analysis and labour hours reporting. Provision of shift/roster data to payroll and appropriate system updates.
805,Aurec Human Capital Group,Hills District NSW,,Process Analyst - Data-focussed,"With strong skills in data mapping, data analysis & data engineering, you'll be experienced in mapping the processes to data and system level."
806,Hudson,Canberra ACT,,Data Analyst,Data analysis - being able to interpret data and then communicate the data clearly and concisely in a report for the taskforce.
807,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
808,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
809,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
810,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
811,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
812,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
813,Hudson,Canberra ACT,,Data Analyst,Data analysis - being able to interpret data and then communicate the data clearly and concisely in a report for the taskforce.
814,DWS,Sydney NSW,,Data Engineer,"Data Lake expertise (Azure storage and/or ADLS) - Implement conceptual and physical data model for relational database, data warehouses and data marts."
815,Enterprise IT Resources Pty Ltd,Sydney NSW,"$92,000 - $104,000 a year",Data Insights Analyst (Ref: 4560),"Typically, you will have worked as a data analyst previously, however you may also come from a Campaign Analyst or BI Analyst background."
816,Continuum Recruitment,Melbourne VIC,,Data Test Analyst,Good understanding of large data migration and transformation. The role involves executing formal test plans to ensure the delivery of data related projects and…
817,Creative Field Marketing Pty Ltd,Melbourne VIC,,Program Analyst,"Experience in proactively managing data requirements for internal and external stakeholders through interpreting, extracting and integrating data from numerous…"
818,Government of South Australia,Adelaide SA,"$90,984 - $96,343 a year",SENIOR INFORMATION ANALYST,"The Senior Information Analyst is responsible for: Strong working knowledge of data collection, statistical and information analysis and evaluation…"
819,Total Resource Solutions,Sydney NSW,,Data Analyst/Modeller (3 days per week),"Data Analyst – Part Time – NSW Government. Experience in extracting data, cleaning and preparing data for use in dashboards. Up to 5 data cleansing projects."
820,Jon Michel Executive Search,Sydney NSW,,Fixed Income Research Analyst,They’re looking to add a Credit Research Analyst to their existing Australian Fixed Income Research team based in Sydney.
821,Sharp & Carter,Sydney NSW,"$160,000 a year",Strategy & Market Analyst,Provide data and assumptions informing financial models. You will be comfortable with complex data sets and information. The successful applicant will have.
822,Centurion,Perth Airport WA,,Graduate HSEQ Systems Analyst,Support business managers through coaching and development of procedures/tools which ensure input of quality HSE data into MyOSH.
823,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
824,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
825,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
826,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
827,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
828,LawPath,Australia,,Current opportunities,Richard Yuen – Data Analyst. Working at Lawpath has allowed me to be a part of a collaborative and diverse team.
829,S&P Global Ratings,Melbourne VIC,,"Research Assistant, Corporate Ratings",Assist analysts in financial modelling and forecasting. Maintain databases and spreadsheets ensuring all necessary data is processed in a timely fashion.
830,DWS,Sydney NSW,,Business Analyst - Wealth,"As a Business Analyst, you will be participating in business planning, needs analysis, risk assessment and solution design/specification."
831,Queensland Government,Toowoomba QLD,,Business Intelligence Analyst,"If you have a passion for business intelligence, reporting and data, please apply. You will utilise contemporary data management and analysis methodologies to…"
832,Dtex Systems,Adelaide SA,,Insider Threat Analyst,"Ability to access and analyze data using industry standard tools (e.g. Analyze customer activity data to identify current or potential threat-related events,…"
833,Digitas,Sydney NSW,,Senior Analyst,"Analyst – Data and Analysis. To help with this, we’re looking for an outstanding Analyst – Data and Analysis . We’d love to hear from you!"
834,Aston Carter,Melbourne City Centre VIC,,Customer Insights Analyst,Statistical and Data Mining skills. Demonstrated experience translating multiple data sets into insights. Demonstrated experience using data visualisation tools…
835,Kmart,Victoria,,Business Analyst - Strategic Investment,Produce and assess Board communication and external analyst & investor communication. Ability to work through large data sets and synthesise concise analysis…
836,JLL,Melbourne VIC,,Procurement Analyst/Specialist - Property & Asset Management,Performing data analysis for spend and work order data to verify baselines and create benchmarks. Working with internal and external stakeholders to collect and…
837,TabCorp Holdings,Sydney NSW,,Digital Data Analyst,"The Digital Data Analyst supports the Digital Analytics & Audience Manager with day to day analytic requests, audience segmentation and platform maintenances…"
838,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
839,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
840,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
841,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
842,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
843,Vodafone,North Sydney NSW,,Reward & Insights Analyst,Developing and implementing data governance processes to maintain data quality to ensure integrity of information. Support to the Manager Reward on projects.
844,Walt Disney Direct-to-Consumer and International,Richmond VIC,,Studio Marketing Manager – Non Franchise Films,Proficiency in business metrics and numbers - with ability to review data and translate analyses into understandable and actionable presentation formats.
845,TAFE NSW,Sydney NSW,,Research and Insights Analyst,Implement quality control checks to ensure data reliability. Ad hoc data analysis to support strategic business decisions. Tuesday 20 August 2019 at 11:59pm.
846,The University of Queensland,Brisbane QLD,"$96,466 - $108,318 a year",Business Analyst,"Research performance data management, contract negotiation; To be successful in this role, you will have a postgraduate qualification or equivalent and…"
847,Emu Search,Melbourne VIC,,Business Systems Analyst,Business Systems Analyst with Dynamics CRM or AX/F&O. High level proficiency in Excel to analyse and manipulate data. About the Role & Areas of Responsibility.
848,Experis,Sydney Central Business District NSW,"$110,000 - $120,000 a year",Senior Data Analyst,"Data Analyst/ Data Science/ BI. A leading ASX listed marketing business based in Sydney, CBD have an exciting opportunity for a Senior Data Analyst to join the…"
849,Assetlink,New South Wales,,ICT Support Analyst,"Audit of voice and data services. A fantastic opportunity has come available for an experienced Service Desk Analyst, who will be responsible for the remote…"
850,RateSetter Australia,The Rocks NSW,"$80,000 - $120,000 a year",Data Analyst,You will be essential in applying your interpretations to the data and challenging the questions that are being asked to ensure that all data is being turned…
851,Appreciating Talent,Sydney NSW,"$55,000 - $75,000 a year",Data Analyst Consultant,"Passion for statistics, data and trends? Assisting in business development opportunities relating to data collection, analysis and reporting."
852,BT,Australia,,Commercial CySOC Analyst,Relevant experience in analysis & interpretation of data into useable and actionable information/intelligence. We need you to help us do this.
853,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
854,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
855,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
856,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
857,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
858,Chandler Macleod,Canberra ACT,,Data Analyst,Work with data analysts and auditors to assist with other data related technical tasks. Automate manual data processes and optimising speed and quality of data…
859,Bluefin Resources,Melbourne VIC,"$115,000 - $130,000 a year",Digital and Data Analyst Lead,"Strong SQL querying skills for data accessing and manipulation. Discover trends, patters and stories told by the data and present to key decision-makers."
860,Ever Better Recruitment (EBR),Sydney NSW,,Spatial Data Analyst (Graduate role) - Interviewing now!,Spatial Data Analyst - Graduate Opportunity. Ensure accurate transport data from data suppliers to support customer in a timely manner. What you will do for us!
861,Tigerspike,Melbourne VIC,,Business Analyst,You have at least 3 years of experience as a Business Analyst. The Business Analysts lead and participate in internal and external Workshops.
862,ME Bank,Melbourne VIC,,Senior Change Analyst,"Popular culture – that’s not a claim, we’ve got the data to prove it. We’re building our organisation’s change capability and looking for a Senior Change…"
863,HAYS,Melbourne Northern Suburbs VIC,"$96,000 a year",Corporate Analyst,"As Corporate Analyst, your main duties will be: Intermediate to Advanced Excel skills, with experience in managing large data sets and financial modelling."
864,Coventry Group Ltd,Thomastown VIC,,Demand Planning Analyst,"Ability to build complex data analyses. Experience in data mining, analysis and reporting. Analyse data to identify discrepancies and suggest improvements to…"
865,Balance Recruitment,Sydney NSW,,SQL Data Operations Analyst,"You will present with strong SQL and data analysis experience, gained in data processing environment. My client, a leading player in the financial services…"
866,Procter and Gamble,Sydney NSW,,Business Analyst,"Superb communicator with the ability to translate data into actionable insights. Execute research and analytics, including data ETL, analysis, and insights…"
867,Adaps,Melbourne VIC,,Senior Data Analyst,Implement best practice processes to ensure data quality/accuracy and identifying data anomalies. Preparing complex data analysis outcomes.
868,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
869,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
870,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
871,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
872,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
873,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
874,Adaps,Melbourne VIC,,Senior Data Analyst,Implement best practice processes to ensure data quality/accuracy and identifying data anomalies. Preparing complex data analysis outcomes.
875,Sparke Helmore,Sydney NSW,,Remuneration and Performance Analyst,"High attention to detail and the ability to manage large complex data sets. Maintaining high standards of data quality in our remuneration, performance and…"
876,Dexus,New South Wales,,Development Analyst,"You will be an important and valued member of the Development team, your role will be highly varied and includes assisting in the feasibility, management and…"
877,HiTech Personnel,Canberra ACT,,Data/System Analyst Modellers,Minimum 5 years’ experience as a Data Analyst / Modeller. One of Australia’s most reputable and innovative Federal Government Departments is looking to engage…
878,BizCover,Sydney NSW,,Business Analyst - Analytics and Data Management,We value uniqueness and character and are looking for a talented Business Analyst (3 to 5 years of experience) ideally with exposure as a Scrum Master or…
879,MarketOne International,Melbourne VIC,,Sales & Marketing Analyst,The ultimate goal is to validate the clients marketing activities and help make data driven decisions. The primary focus of this role is to provide support to…
880,Bendigo & Adelaide Bank,Melbourne VIC,,Senior Customer Data Scientist,5+ years in a Data Science role or Advanced Analytics team. Demonstrated ability to tell a story with data and utilise Visualisation tools.
881,Axiom Technologies Australia,Sydney NSW,"$85,000 a year",Business Analyst,Solid experience as a business analyst is mandatory. We are seeking an experienced Business Analyst to support high profile and enterprise clients.
882,HAYS,Sydney Central Business District NSW,,Data Analyst - Remediation,"As the Data Analyst you will be providing specialist data expertise in support of remediation activities which will include information gathering, data analysis…"
883,Technology People Australia,Sydney NSW,,Master Data Analyst - FMCG,Experience working as a master data analyst. Build a data dictionary and master data standards for data objects. Experience in master data management.
884,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
885,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
886,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
887,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
888,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
889,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
890,DWS,Adelaide SA,,Software Developer/Integration Analyst,"We provide a wide range of services including IT consulting, managed application services, project management, customer driven innovation, digital…"
891,S2M,Sydney NSW,"$80,000 a year",Audience/ Data Analyst- Digital Media,"Expertise in data models, database design & development, data mining and segmentation. 2 to 3 years proven local working experience as a data analyst in a…"
892,Vocus Group,Melbourne VIC,,Product Data Analyst,"We are looking for a Product Data Analyst to analyse data, extract insights, and actionable recommendations supporting the Products and Pricing teams."
893,Planning and Assessment,Sydney NSW,,Senior Economic Analyst,"The Senior Economic Analyst will be responsible for providing data analysis, data assembly, economic advice and analytical support on complex infrastructure…"
894,ALDI,Parramatta NSW,"$118,000 - $134,599 a year",Commercial Analyst,"Performing fact based, data driven analysis and modelling on significant sets of data for the purpose of creating actionable information required to drive key…"
895,Aurec,Hills District NSW,,Process Analyst - Data-focussed,"With strong skills in data mapping, data analysis & data engineering, you'll be experienced in mapping the processes to data and system level."
896,Schneider Electric,Sydney NSW,,Continuous Improvement Analyst - 4 Month Fixed Term,Excellent data analytics and data insights skills with an ability to recommend sound data driven decisions. What do we stand for?
897,Dtex Systems,Adelaide SA,,Insider Threat Analyst,"Ability to access and analyze data using industry standard tools (e.g. Analyze customer activity data to identify current or potential threat-related events,…"
